MAL-00001 | Fullmetal Alchemist: Brotherhood | Type: Movie | Score: 5.01 | Genre: Comedy
MAL-01232 | Silver Spoon - Recap | Type: OVA | Score: 8.32 | Genre: Drama
MAL-01233 | March Comes in Like a Lion - Recap | Type: ONA | Score: 8.33 | Genre: Fantasy
MAL-01234 | Honey and Clover - Recap | Type: Special | Score: 8.34 | Genre: Sci-Fi
MAL-01235 | Natsume's Book of Friends - Recap | Type: TV | Score: 8.35 | Genre: Slice of Life
MAL-01236 | Mushishi - Recap | Type: Movie | Score: 8.36 | Genre: Romance
MAL-01237 | Kino's Journey - Recap | Type: OVA | Score: 8.37 | Genre: Suspense
MAL-01238 | Spice and Wolf - Recap | Type: ONA | Score: 8.38 | Genre: Adventure
MAL-01239 | The Tatami Galaxy - Recap | Type: Special | Score: 8.39 | Genre: Sports
MAL-01240 | Ping Pong the Animation - Recap | Type: TV | Score: 8.4 | Genre: Action
MAL-01241 | Odd Taxi - Recap | Type: Movie | Score: 8.41 | Genre: Comedy
MAL-01242 | Cyberpunk: Edgerunners - Recap | Type: OVA | Score: 8.42 | Genre: Drama
MAL-01243 | Devilman Crybaby - Recap | Type: ONA | Score: 8.43 | Genre: Fantasy
MAL-01244 | Parasyte -the maxim- - Recap | Type: Special | Score: 8.44 | Genre: Sci-Fi
MAL-01245 | Inuyashiki - Recap | Type: TV | Score: 8.45 | Genre: Slice of Life
MAL-01246 | Elfen Lied - Recap | Type: Movie | Score: 8.46 | Genre: Romance
MAL-01247 | Deadman Wonderland - Recap | Type: OVA | Score: 8.47 | Genre: Suspense
MAL-01248 | Mirai Nikki - Recap | Type: ONA | Score: 8.48 | Genre: Adventure
MAL-01249 | Another - Recap | Type: Special | Score: 8.49 | Genre: Sports
MAL-01250 | Shiki - Recap | Type: TV | Score: 8.5 | Genre: Action
MAL-01251 | Higurashi: When They Cry - Recap | Type: Movie | Score: 8.51 | Genre: Comedy
MAL-01252 | Summer Time Rendering - Recap | Type: OVA | Score: 8.52 | Genre: Drama
MAL-01253 | Ergo Proxy - Recap | Type: ONA | Score: 8.53 | Genre: Fantasy
MAL-01254 | Texhnolyze - Recap | Type: Special | Score: 8.54 | Genre: Sci-Fi
MAL-01255 | Serial Experiments Lain - Recap | Type: TV | Score: 8.55 | Genre: Slice of Life
MAL-01256 | Darker than Black - Recap | Type: Movie | Score: 8.56 | Genre: Romance
MAL-01257 | Black Lagoon - Recap | Type: OVA | Score: 8.57 | Genre: Suspense
MAL-01258 | Jormungand - Recap | Type: ONA | Score: 8.58 | Genre: Adventure
MAL-01259 | Hellsing Ultimate - Recap | Type: Special | Score: 8.59 | Genre: Sports
MAL-01260 | Drifters - Recap | Type: TV | Score: 8.6 | Genre: Action
MAL-01261 | Dororo - Recap | Type: Movie | Score: 8.61 | Genre: Comedy
MAL-01262 | Samurai Champloo - Recap | Type: OVA | Score: 8.62 | Genre: Drama
MAL-01263 | Rurouni Kenshin - Recap | Type: ONA | Score: 8.63 | Genre: Fantasy
MAL-01264 | Gintama' - Recap | Type: Special | Score: 8.64 | Genre: Sci-Fi
MAL-01265 | Gintama° - Recap | Type: TV | Score: 8.65 | Genre: Slice of Life
MAL-01266 | Gintama: Enchousen - Recap | Type: Movie | Score: 8.66 | Genre: Romance
MAL-01267 | Gintama: The Final - Recap | Type: OVA | Score: 8.67 | Genre: Suspense
MAL-01268 | Bleach - Recap | Type: ONA | Score: 8.68 | Genre: Adventure
MAL-01269 | Katekyo Hitman Reborn! - Recap | Type: Special | Score: 8.69 | Genre: Sports
MAL-01270 | D.Gray-man Hallow - Recap | Type: TV | Score: 8.7 | Genre: Action
MAL-01271 | Beelzebub - Recap | Type: Movie | Score: 8.71 | Genre: Comedy
MAL-01272 | Gourmet Girl Graffiti - Recap | Type: OVA | Score: 8.72 | Genre: Drama
MAL-01273 | Food Wars! Shokugeki no Soma - Recap | Type: ONA | Score: 8.73 | Genre: Fantasy
MAL-01274 | Yakitate!! Japan - Recap | Type: Special | Score: 8.74 | Genre: Sci-Fi
MAL-01275 | Toriko - Recap | Type: TV | Score: 8.75 | Genre: Slice of Life
MAL-01276 | Golden Kamuy - Recap | Type: Movie | Score: 8.76 | Genre: Romance
MAL-01277 | Vinland Saga Season 2 - Recap | Type: OVA | Score: 8.77 | Genre: Suspense
MAL-01278 | Kingdom - Recap | Type: ONA | Score: 8.78 | Genre: Adventure
MAL-01279 | The Kings Avatar - Recap | Type: Special | Score: 8.79 | Genre: Sports
MAL-01280 | Soul Land - Recap | Type: TV | Score: 8.8 | Genre: Action
MAL-01281 | Battle Through the Heavens - Recap | Type: Movie | Score: 8.81 | Genre: Comedy
MAL-01282 | A Will Eternal - Recap | Type: OVA | Score: 8.82 | Genre: Drama
MAL-01283 | Perfect World - Recap | Type: ONA | Score: 8.83 | Genre: Fantasy
MAL-01284 | Stellar Transformations - Recap | Type: Special | Score: 8.84 | Genre: Sci-Fi
MAL-01285 | Martial Universe - Recap | Type: TV | Score: 8.85 | Genre: Slice of Life
MAL-01286 | Spare Me, Great Lord! - Recap | Type: Movie | Score: 8.86 | Genre: Romance
MAL-01287 | Versatile Mage - Recap | Type: OVA | Score: 8.87 | Genre: Suspense
MAL-01288 | Fullmetal Alchemist: Brotherhood Spin-off | Type: ONA | Score: 8.88 | Genre: Adventure
MAL-01289 | Frieren: Beyond Journey's End Spin-off | Type: Special | Score: 8.89 | Genre: Sports
MAL-01290 | Steins;Gate Spin-off | Type: TV | Score: 8.9 | Genre: Action
MAL-01291 | Attack on Titan Spin-off | Type: Movie | Score: 8.91 | Genre: Comedy
MAL-01292 | Hunter x Hunter Spin-off | Type: OVA | Score: 8.92 | Genre: Drama
MAL-01293 | Bleach: Thousand-Year Blood War Spin-off | Type: ONA | Score: 8.93 | Genre: Fantasy
MAL-01294 | Gintama Spin-off | Type: Special | Score: 8.94 | Genre: Sci-Fi
MAL-01295 | One Piece Spin-off | Type: TV | Score: 8.95 | Genre: Slice of Life
MAL-01296 | Naruto: Shippuden Spin-off | Type: Movie | Score: 8.96 | Genre: Romance
MAL-01297 | Re:Zero - Starting Life in Another World Spin-off | Type: OVA | Score: 8.97 | Genre: Suspense
MAL-01298 | Jujutsu Kaisen Spin-off | Type: ONA | Score: 8.98 | Genre: Adventure
MAL-01299 | Demon Slayer: Kimetsu no Yaiba Spin-off | Type: Special | Score: 8.99 | Genre: Sports
MAL-01300 | Chainsaw Man Spin-off | Type: TV | Score: 9.0 | Genre: Action
MAL-01301 | Cowboy Bebop Spin-off | Type: Movie | Score: 9.01 | Genre: Comedy
MAL-01302 | Neon Genesis Evangelion Spin-off | Type: OVA | Score: 9.02 | Genre: Drama
MAL-01303 | Code Geass: Lelouch of the Rebellion Spin-off | Type: ONA | Score: 9.03 | Genre: Fantasy
MAL-01304 | Death Note Spin-off | Type: Special | Score: 9.04 | Genre: Sci-Fi
MAL-01305 | Monster Spin-off | Type: TV | Score: 9.05 | Genre: Slice of Life
MAL-01306 | Hajime no Ippo Spin-off | Type: Movie | Score: 9.06 | Genre: Romance
MAL-01307 | Vinland Saga Spin-off | Type: OVA | Score: 9.07 | Genre: Suspense
MAL-01308 | Mob Psycho 100 Spin-off | Type: ONA | Score: 9.08 | Genre: Adventure
MAL-01309 | One Punch Man Spin-off | Type: Special | Score: 9.09 | Genre: Sports
MAL-01310 | My Hero Academia Spin-off | Type: TV | Score: 9.1 | Genre: Action
MAL-01311 | Black Clover Spin-off | Type: Movie | Score: 9.11 | Genre: Comedy
MAL-01312 | Sword Art Online Spin-off | Type: OVA | Score: 9.12 | Genre: Drama
MAL-01313 | Tokyo Ghoul Spin-off | Type: ONA | Score: 9.13 | Genre: Fantasy
MAL-01314 | Your Name. Spin-off | Type: Special | Score: 9.14 | Genre: Sci-Fi
MAL-01315 | Spirited Away Spin-off | Type: TV | Score: 9.15 | Genre: Slice of Life
MAL-01316 | A Silent Voice Spin-off | Type: Movie | Score: 9.16 | Genre: Romance
MAL-01317 | Princess Mononoke Spin-off | Type: OVA | Score: 9.17 | Genre: Suspense
MAL-01318 | Howl's Moving Castle Spin-off | Type: ONA | Score: 9.18 | Genre: Adventure
MAL-01319 | Violet Evergarden Spin-off | Type: Special | Score: 9.19 | Genre: Sports
MAL-01320 | Kaguya-sama: Love is War Spin-off | Type: TV | Score: 9.2 | Genre: Action
MAL-01321 | Clannad: After Story Spin-off | Type: Movie | Score: 9.21 | Genre: Comedy
MAL-01322 | Toradora! Spin-off | Type: OVA | Score: 9.22 | Genre: Drama
MAL-01323 | Anohana: The Flower We Saw That Day Spin-off | Type: ONA | Score: 9.23 | Genre: Fantasy
MAL-01324 | Your Lie in April Spin-off | Type: Special | Score: 9.24 | Genre: Sci-Fi
MAL-01325 | Haikyu!! Spin-off | Type: TV | Score: 9.25 | Genre: Slice of Life
MAL-01326 | Kuroko's Basketball Spin-off | Type: Movie | Score: 9.26 | Genre: Romance
MAL-01327 | Slam Dunk Spin-off | Type: OVA | Score: 9.27 | Genre: Suspense
MAL-01328 | Blue Lock Spin-off | Type: ONA | Score: 9.28 | Genre: Adventure
MAL-01329 | Ao Ashi Spin-off | Type: Special | Score: 9.29 | Genre: Sports
MAL-01330 | Chihayafuru Spin-off | Type: TV | Score: 9.3 | Genre: Action
MAL-01331 | Legend of the Galactic Heroes Spin-off | Type: Movie | Score: 9.31 | Genre: Comedy
MAL-01332 | Pluto Spin-off | Type: OVA | Score: 9.32 | Genre: Drama
MAL-01333 | Monster Spin-off | Type: ONA | Score: 9.33 | Genre: Fantasy
MAL-01334 | Berserk Spin-off | Type: Special | Score: 9.34 | Genre: Sci-Fi
MAL-01335 | Claymore Spin-off | Type: TV | Score: 9.35 | Genre: Slice of Life
MAL-01336 | D.Gray-man Spin-off | Type: Movie | Score: 9.36 | Genre: Romance
MAL-01337 | Soul Eater Spin-off | Type: OVA | Score: 9.37 | Genre: Suspense
MAL-01338 | Fairy Tail Spin-off | Type: ONA | Score: 9.38 | Genre: Adventure
MAL-01339 | The Seven Deadly Sins Spin-off | Type: Special | Score: 9.39 | Genre: Sports
MAL-01340 | Overlord Spin-off | Type: TV | Score: 9.4 | Genre: Action
MAL-01341 | That Time I Got Reincarnated as a Slime Spin-off | Type: Movie | Score: 9.41 | Genre: Comedy
MAL-01342 | Mushoku Tensei: Jobless Reincarnation Spin-off | Type: OVA | Score: 9.42 | Genre: Drama
MAL-01343 | Reincarnated as a Sword Spin-off | Type: ONA | Score: 9.43 | Genre: Fantasy
MAL-01344 | The Eminence in Shadow Spin-off | Type: Special | Score: 9.44 | Genre: Sci-Fi
MAL-01345 | Log Horizon Spin-off | Type: TV | Score: 9.45 | Genre: Slice of Life
MAL-01346 | No Game No Life Spin-off | Type: Movie | Score: 9.46 | Genre: Romance
MAL-01347 | Konosuba: God's Blessing on this Wonderful World! Spin-off | Type: OVA | Score: 9.47 | Genre: Suspense
MAL-01348 | Re:CREATORS Spin-off | Type: ONA | Score: 9.48 | Genre: Adventure
MAL-01349 | Fate/Zero Spin-off | Type: Special | Score: 9.49 | Genre: Sports
MAL-01350 | Fate/stay night: Unlimited Blade Works Spin-off | Type: TV | Score: 5.0 | Genre: Action
MAL-01351 | Heaven's Feel Spin-off | Type: Movie | Score: 5.01 | Genre: Comedy
MAL-01352 | Kara no Kyoukai Spin-off | Type: OVA | Score: 5.02 | Genre: Drama
MAL-01353 | Psycho-Pass Spin-off | Type: ONA | Score: 5.03 | Genre: Fantasy
MAL-01354 | Ghost in the Shell: Stand Alone Complex Spin-off | Type: Special | Score: 5.04 | Genre: Sci-Fi
MAL-01355 | Akira Spin-off | Type: TV | Score: 5.05 | Genre: Slice of Life
MAL-01356 | Steins;Gate 0 Spin-off | Type: Movie | Score: 5.06 | Genre: Romance
MAL-01357 | Erased Spin-off | Type: OVA | Score: 5.07 | Genre: Suspense
MAL-01358 | The Promised Neverland Spin-off | Type: ONA | Score: 5.08 | Genre: Adventure
MAL-01359 | Made in Abyss Spin-off | Type: Special | Score: 5.09 | Genre: Sports
MAL-01360 | Land of the Lustrous Spin-off | Type: TV | Score: 5.1 | Genre: Action
MAL-01361 | Girls' Last Tour Spin-off | Type: Movie | Score: 5.11 | Genre: Comedy
MAL-01362 | Nichijou - My Ordinary Life Spin-off | Type: OVA | Score: 5.12 | Genre: Drama
MAL-01363 | Daily Lives of High School Boys Spin-off | Type: ONA | Score: 5.13 | Genre: Fantasy
MAL-01364 | Grand Blue Dreaming Spin-off | Type: Special | Score: 5.14 | Genre: Sci-Fi
MAL-01365 | Gekkan Shoujo Nozaki-kun Spin-off | Type: TV | Score: 5.15 | Genre: Slice of Life
MAL-01366 | K-On! Spin-off | Type: Movie | Score: 5.16 | Genre: Romance
MAL-01367 | Bocchi the Rock! Spin-off | Type: OVA | Score: 5.17 | Genre: Suspense
MAL-01368 | Love Live! School Idol Project Spin-off | Type: ONA | Score: 5.18 | Genre: Adventure
MAL-01369 | The Melancholy of Haruhi Suzumiya Spin-off | Type: Special | Score: 5.19 | Genre: Sports
MAL-01370 | Lucky Star Spin-off | Type: TV | Score: 5.2 | Genre: Action
MAL-01371 | Azumanga Daioh Spin-off | Type: Movie | Score: 5.21 | Genre: Comedy
MAL-01372 | Tanaka-kun is Always Listless Spin-off | Type: OVA | Score: 5.22 | Genre: Drama
MAL-01373 | School Babysitters Spin-off | Type: ONA | Score: 5.23 | Genre: Fantasy
MAL-01374 | Barakamon Spin-off | Type: Special | Score: 5.24 | Genre: Sci-Fi
MAL-01375 | Silver Spoon Spin-off | Type: TV | Score: 5.25 | Genre: Slice of Life
MAL-01376 | March Comes in Like a Lion Spin-off | Type: Movie | Score: 5.26 | Genre: Romance
MAL-01377 | Honey and Clover Spin-off | Type: OVA | Score: 5.27 | Genre: Suspense
MAL-01378 | Natsume's Book of Friends Spin-off | Type: ONA | Score: 5.28 | Genre: Adventure
MAL-01379 | Mushishi Spin-off | Type: Special | Score: 5.29 | Genre: Sports
MAL-01380 | Kino's Journey Spin-off | Type: TV | Score: 5.3 | Genre: Action
MAL-01381 | Spice and Wolf Spin-off | Type: Movie | Score: 5.31 | Genre: Comedy
MAL-01382 | The Tatami Galaxy Spin-off | Type: OVA | Score: 5.32 | Genre: Drama
MAL-01383 | Ping Pong the Animation Spin-off | Type: ONA | Score: 5.33 | Genre: Fantasy
MAL-01384 | Odd Taxi Spin-off | Type: Special | Score: 5.34 | Genre: Sci-Fi
MAL-01385 | Cyberpunk: Edgerunners Spin-off | Type: TV | Score: 5.35 | Genre: Slice of Life
MAL-01386 | Devilman Crybaby Spin-off | Type: Movie | Score: 5.36 | Genre: Romance
MAL-01387 | Parasyte -the maxim- Spin-off | Type: OVA | Score: 5.37 | Genre: Suspense
MAL-01388 | Inuyashiki Spin-off | Type: ONA | Score: 5.38 | Genre: Adventure
MAL-01389 | Elfen Lied Spin-off | Type: Special | Score: 5.39 | Genre: Sports
MAL-01390 | Deadman Wonderland Spin-off | Type: TV | Score: 5.4 | Genre: Action
MAL-01391 | Mirai Nikki Spin-off | Type: Movie | Score: 5.41 | Genre: Comedy
MAL-01392 | Another Spin-off | Type: OVA | Score: 5.42 | Genre: Drama
MAL-01393 | Shiki Spin-off | Type: ONA | Score: 5.43 | Genre: Fantasy
MAL-01394 | Higurashi: When They Cry Spin-off | Type: Special | Score: 5.44 | Genre: Sci-Fi
MAL-01395 | Summer Time Rendering Spin-off | Type: TV | Score: 5.45 | Genre: Slice of Life
MAL-01396 | Ergo Proxy Spin-off | Type: Movie | Score: 5.46 | Genre: Romance
MAL-01397 | Texhnolyze Spin-off | Type: OVA | Score: 5.47 | Genre: Suspense
MAL-01398 | Serial Experiments Lain Spin-off | Type: ONA | Score: 5.48 | Genre: Adventure
MAL-01399 | Darker than Black Spin-off | Type: Special | Score: 5.49 | Genre: Sports
MAL-01400 | Black Lagoon Spin-off | Type: TV | Score: 5.5 | Genre: Action
MAL-01401 | Jormungand Spin-off | Type: Movie | Score: 5.51 | Genre: Comedy
MAL-01402 | Hellsing Ultimate Spin-off | Type: OVA | Score: 5.52 | Genre: Drama
MAL-01403 | Drifters Spin-off | Type: ONA | Score: 5.53 | Genre: Fantasy
MAL-01404 | Dororo Spin-off | Type: Special | Score: 5.54 | Genre: Sci-Fi
MAL-01405 | Samurai Champloo Spin-off | Type: TV | Score: 5.55 | Genre: Slice of Life
MAL-01406 | Rurouni Kenshin Spin-off | Type: Movie | Score: 5.56 | Genre: Romance
MAL-01407 | Gintama' Spin-off | Type: OVA | Score: 5.57 | Genre: Suspense
MAL-01408 | Gintama° Spin-off | Type: ONA | Score: 5.58 | Genre: Adventure
MAL-01409 | Gintama: Enchousen Spin-off | Type: Special | Score: 5.59 | Genre: Sports
MAL-01410 | Gintama: The Final Spin-off | Type: TV | Score: 5.6 | Genre: Action
MAL-01411 | Bleach Spin-off | Type: Movie | Score: 5.61 | Genre: Comedy
MAL-01412 | Katekyo Hitman Reborn! Spin-off | Type: OVA | Score: 5.62 | Genre: Drama
MAL-01413 | D.Gray-man Hallow Spin-off | Type: ONA | Score: 5.63 | Genre: Fantasy
MAL-01414 | Beelzebub Spin-off | Type: Special | Score: 5.64 | Genre: Sci-Fi
MAL-01415 | Gourmet Girl Graffiti Spin-off | Type: TV | Score: 5.65 | Genre: Slice of Life
MAL-01416 | Food Wars! Shokugeki no Soma Spin-off | Type: Movie | Score: 5.66 | Genre: Romance
MAL-01417 | Yakitate!! Japan Spin-off | Type: OVA | Score: 5.67 | Genre: Suspense
MAL-01418 | Toriko Spin-off | Type: ONA | Score: 5.68 | Genre: Adventure
MAL-01419 | Golden Kamuy Spin-off | Type: Special | Score: 5.69 | Genre: Sports
MAL-01420 | Vinland Saga Season 2 Spin-off | Type: TV | Score: 5.7 | Genre: Action
MAL-01421 | Kingdom Spin-off | Type: Movie | Score: 5.71 | Genre: Comedy
MAL-01422 | The Kings Avatar Spin-off | Type: OVA | Score: 5.72 | Genre: Drama
MAL-01423 | Soul Land Spin-off | Type: ONA | Score: 5.73 | Genre: Fantasy
MAL-01424 | Battle Through the Heavens Spin-off | Type: Special | Score: 5.74 | Genre: Sci-Fi
MAL-01425 | A Will Eternal Spin-off | Type: TV | Score: 5.75 | Genre: Slice of Life
MAL-01426 | Perfect World Spin-off | Type: Movie | Score: 5.76 | Genre: Romance
MAL-01427 | Stellar Transformations Spin-off | Type: OVA | Score: 5.77 | Genre: Suspense
MAL-01428 | Martial Universe Spin-off | Type: ONA | Score: 5.78 | Genre: Adventure
MAL-01429 | Spare Me, Great Lord! Spin-off | Type: Special | Score: 5.79 | Genre: Sports
MAL-01430 | Versatile Mage Spin-off | Type: TV | Score: 5.8 | Genre: Action
MAL-01431 | Fullmetal Alchemist: Brotherhood Alternative World | Type: Movie | Score: 5.81 | Genre: Comedy
MAL-01432 | Frieren: Beyond Journey's End Alternative World | Type: OVA | Score: 5.82 | Genre: Drama
MAL-01433 | Steins;Gate Alternative World | Type: ONA | Score: 5.83 | Genre: Fantasy
MAL-01434 | Attack on Titan Alternative World | Type: Special | Score: 5.84 | Genre: Sci-Fi
MAL-01435 | Hunter x Hunter Alternative World | Type: TV | Score: 5.85 | Genre: Slice of Life
MAL-01436 | Bleach: Thousand-Year Blood War Alternative World | Type: Movie | Score: 5.86 | Genre: Romance
MAL-01437 | Gintama Alternative World | Type: OVA | Score: 5.87 | Genre: Suspense
MAL-01438 | One Piece Alternative World | Type: ONA | Score: 5.88 | Genre: Adventure
MAL-01439 | Naruto: Shippuden Alternative World | Type: Special | Score: 5.89 | Genre: Sports
MAL-01440 | Re:Zero - Starting Life in Another World Alternative World | Type: TV | Score: 5.9 | Genre: Action
MAL-01441 | Jujutsu Kaisen Alternative World | Type: Movie | Score: 5.91 | Genre: Comedy
MAL-01442 | Demon Slayer: Kimetsu no Yaiba Alternative World | Type: OVA | Score: 5.92 | Genre: Drama
MAL-01443 | Chainsaw Man Alternative World | Type: ONA | Score: 5.93 | Genre: Fantasy
MAL-01444 | Cowboy Bebop Alternative World | Type: Special | Score: 5.94 | Genre: Sci-Fi
MAL-01445 | Neon Genesis Evangelion Alternative World | Type: TV | Score: 5.95 | Genre: Slice of Life
MAL-01446 | Code Geass: Lelouch of the Rebellion Alternative World | Type: Movie | Score: 5.96 | Genre: Romance
MAL-01447 | Death Note Alternative World | Type: OVA | Score: 5.97 | Genre: Suspense
MAL-01448 | Monster Alternative World | Type: ONA | Score: 5.98 | Genre: Adventure
MAL-01449 | Hajime no Ippo Alternative World | Type: Special | Score: 5.99 | Genre: Sports
MAL-01450 | Vinland Saga Alternative World | Type: TV | Score: 6.0 | Genre: Action
MAL-01451 | Mob Psycho 100 Alternative World | Type: Movie | Score: 6.01 | Genre: Comedy
MAL-01452 | One Punch Man Alternative World | Type: OVA | Score: 6.02 | Genre: Drama
MAL-01453 | My Hero Academia Alternative World | Type: ONA | Score: 6.03 | Genre: Fantasy
MAL-01454 | Black Clover Alternative World | Type: Special | Score: 6.04 | Genre: Sci-Fi
MAL-01455 | Sword Art Online Alternative World | Type: TV | Score: 6.05 | Genre: Slice of Life
MAL-01456 | Tokyo Ghoul Alternative World | Type: Movie | Score: 6.06 | Genre: Romance
MAL-01457 | Your Name. Alternative World | Type: OVA | Score: 6.07 | Genre: Suspense
MAL-01458 | Spirited Away Alternative World | Type: ONA | Score: 6.08 | Genre: Adventure
MAL-01459 | A Silent Voice Alternative World | Type: Special | Score: 6.09 | Genre: Sports
MAL-01460 | Princess Mononoke Alternative World | Type: TV | Score: 6.1 | Genre: Action
MAL-01461 | Howl's Moving Castle Alternative World | Type: Movie | Score: 6.11 | Genre: Comedy
MAL-01462 | Violet Evergarden Alternative World | Type: OVA | Score: 6.12 | Genre: Drama
MAL-01463 | Kaguya-sama: Love is War Alternative World | Type: ONA | Score: 6.13 | Genre: Fantasy
MAL-01464 | Clannad: After Story Alternative World | Type: Special | Score: 6.14 | Genre: Sci-Fi
MAL-01465 | Toradora! Alternative World | Type: TV | Score: 6.15 | Genre: Slice of Life
MAL-01466 | Anohana: The Flower We Saw That Day Alternative World | Type: Movie | Score: 6.16 | Genre: Romance
MAL-01467 | Your Lie in April Alternative World | Type: OVA | Score: 6.17 | Genre: Suspense
MAL-01468 | Haikyu!! Alternative World | Type: ONA | Score: 6.18 | Genre: Adventure
MAL-01469 | Kuroko's Basketball Alternative World | Type: Special | Score: 6.19 | Genre: Sports
MAL-01470 | Slam Dunk Alternative World | Type: TV | Score: 6.2 | Genre: Action
MAL-01471 | Blue Lock Alternative World | Type: Movie | Score: 6.21 | Genre: Comedy
MAL-01472 | Ao Ashi Alternative World | Type: OVA | Score: 6.22 | Genre: Drama
MAL-01473 | Chihayafuru Alternative World | Type: ONA | Score: 6.23 | Genre: Fantasy
MAL-01474 | Legend of the Galactic Heroes Alternative World | Type: Special | Score: 6.24 | Genre: Sci-Fi
MAL-01475 | Pluto Alternative World | Type: TV | Score: 6.25 | Genre: Slice of Life
MAL-01476 | Monster Alternative World | Type: Movie | Score: 6.26 | Genre: Romance
MAL-01477 | Berserk Alternative World | Type: OVA | Score: 6.27 | Genre: Suspense
MAL-01478 | Claymore Alternative World | Type: ONA | Score: 6.28 | Genre: Adventure
MAL-01479 | D.Gray-man Alternative World | Type: Special | Score: 6.29 | Genre: Sports
MAL-01480 | Soul Eater Alternative World | Type: TV | Score: 6.3 | Genre: Action
MAL-01481 | Fairy Tail Alternative World | Type: Movie | Score: 6.31 | Genre: Comedy
MAL-01482 | The Seven Deadly Sins Alternative World | Type: OVA | Score: 6.32 | Genre: Drama
MAL-01483 | Overlord Alternative World | Type: ONA | Score: 6.33 | Genre: Fantasy
MAL-01484 | That Time I Got Reincarnated as a Slime Alternative World | Type: Special | Score: 6.34 | Genre: Sci-Fi
MAL-01485 | Mushoku Tensei: Jobless Reincarnation Alternative World | Type: TV | Score: 6.35 | Genre: Slice of Life
MAL-01486 | Reincarnated as a Sword Alternative World | Type: Movie | Score: 6.36 | Genre: Romance
MAL-01487 | The Eminence in Shadow Alternative World | Type: OVA | Score: 6.37 | Genre: Suspense
MAL-01488 | Log Horizon Alternative World | Type: ONA | Score: 6.38 | Genre: Adventure
MAL-01489 | No Game No Life Alternative World | Type: Special | Score: 6.39 | Genre: Sports
MAL-01490 | Konosuba: God's Blessing on this Wonderful World! Alternative World | Type: TV | Score: 6.4 | Genre: Action
MAL-01491 | Re:CREATORS Alternative World | Type: Movie | Score: 6.41 | Genre: Comedy
MAL-01492 | Fate/Zero Alternative World | Type: OVA | Score: 6.42 | Genre: Drama
MAL-01493 | Fate/stay night: Unlimited Blade Works Alternative World | Type: ONA | Score: 6.43 | Genre: Fantasy
MAL-01494 | Heaven's Feel Alternative World | Type: Special | Score: 6.44 | Genre: Sci-Fi
MAL-01495 | Kara no Kyoukai Alternative World | Type: TV | Score: 6.45 | Genre: Slice of Life
MAL-01496 | Psycho-Pass Alternative World | Type: Movie | Score: 6.46 | Genre: Romance
MAL-01497 | Ghost in the Shell: Stand Alone Complex Alternative World | Type: OVA | Score: 6.47 | Genre: Suspense
MAL-01498 | Akira Alternative World | Type: ONA | Score: 6.48 | Genre: Adventure
MAL-01499 | Steins;Gate 0 Alternative World | Type: Special | Score: 6.49 | Genre: Sports
MAL-01500 | Erased Alternative World | Type: TV | Score: 6.5 | Genre: Action
MAL-01501 | The Promised Neverland Alternative World | Type: Movie | Score: 6.51 | Genre: Comedy
MAL-01502 | Made in Abyss Alternative World | Type: OVA | Score: 6.52 | Genre: Drama
MAL-01503 | Land of the Lustrous Alternative World | Type: ONA | Score: 6.53 | Genre: Fantasy
MAL-01504 | Girls' Last Tour Alternative World | Type: Special | Score: 6.54 | Genre: Sci-Fi
MAL-01505 | Nichijou - My Ordinary Life Alternative World | Type: TV | Score: 6.55 | Genre: Slice of Life
MAL-01506 | Daily Lives of High School Boys Alternative World | Type: Movie | Score: 6.56 | Genre: Romance
MAL-01507 | Grand Blue Dreaming Alternative World | Type: OVA | Score: 6.57 | Genre: Suspense
MAL-01508 | Gekkan Shoujo Nozaki-kun Alternative World | Type: ONA | Score: 6.58 | Genre: Adventure
MAL-01509 | K-On! Alternative World | Type: Special | Score: 6.59 | Genre: Sports
MAL-01510 | Bocchi the Rock! Alternative World | Type: TV | Score: 6.6 | Genre: Action
MAL-01511 | Love Live! School Idol Project Alternative World | Type: Movie | Score: 6.61 | Genre: Comedy
MAL-01512 | The Melancholy of Haruhi Suzumiya Alternative World | Type: OVA | Score: 6.62 | Genre: Drama
MAL-01513 | Lucky Star Alternative World | Type: ONA | Score: 6.63 | Genre: Fantasy
MAL-01514 | Azumanga Daioh Alternative World | Type: Special | Score: 6.64 | Genre: Sci-Fi
MAL-01515 | Tanaka-kun is Always Listless Alternative World | Type: TV | Score: 6.65 | Genre: Slice of Life
MAL-01516 | School Babysitters Alternative World | Type: Movie | Score: 6.66 | Genre: Romance
MAL-01517 | Barakamon Alternative World | Type: OVA | Score: 6.67 | Genre: Suspense
MAL-01518 | Silver Spoon Alternative World | Type: ONA | Score: 6.68 | Genre: Adventure
MAL-01519 | March Comes in Like a Lion Alternative World | Type: Special | Score: 6.69 | Genre: Sports
MAL-01520 | Honey and Clover Alternative World | Type: TV | Score: 6.7 | Genre: Action
MAL-01521 | Natsume's Book of Friends Alternative World | Type: Movie | Score: 6.71 | Genre: Comedy
MAL-01522 | Mushishi Alternative World | Type: OVA | Score: 6.72 | Genre: Drama
MAL-01523 | Kino's Journey Alternative World | Type: ONA | Score: 6.73 | Genre: Fantasy
MAL-01524 | Spice and Wolf Alternative World | Type: Special | Score: 6.74 | Genre: Sci-Fi
MAL-01525 | The Tatami Galaxy Alternative World | Type: TV | Score: 6.75 | Genre: Slice of Life
